0.22295,0.4232,0,0.42118,0,0,0,0,0.29854,0.23529,0.3557,0.67278,0,0.65782,0.61094,0.72654,1,0.31125,0,0.6669,0.69331,0.25527,0,0.66464,1,0.37494,0.62247,0.33859,0.36044,0.6791,0,0.6595,0,0.30658,0.34741,0
0.25591,0.31606,0.37906,0.36287,0,0,0.48293,0,0.28,0,0.51571,0.30547,0.30041,0.56896,0.29694,1,0,0.65634,0,0.78643,0.29554,0,0,0.34155,0.35081,0,0,1,0.27129,0.43467,0,0.35413,0,0.48926,0.30572,0
0,0,0,0.31428,0,0.30201,0.28085,0,0.66991,0.67501,0.34252,0.68087,0.4274,0.27217,0.32989,0.36578,0.27699,0.66103,0.26194,0.37295,0.28244,0.30488,0,0,0,0.67755,0.20599,0,0.74526,0.214,0.32813,0,0.27301,0.68962,0.39883,0.72411
0.65525,0.39888,0,0,0,0,0,0.36289,0.29405,0.33333,0.33419,0.66129,0.70021,0.66129,0.72079,0,0.37501,0.66733,1,1,1,0.34417,0.63441,0.38874,0.34882,0.36235,0,0,0,0,0,0,0,0,0,0
0.34475,1,1,1,1,1,1,1,0.34865,0.61364,0.39577,0.36413,1,0.64092,0.31933,0.66878,1,0.60009,0.29113,0.29361,0.63811,0.63087,0.33616,0.72521,1,0.75826,0.69414,0.71067,0.59031,0.46868,0.29121,0.33128,0.64098,0,0.37944,0
0,0.30465,0,0,0,0,0,0.2864,0.27759,0,0.35753,0.6,0.6,0.38755,0.6,0.74511,1,1,0.72126,1,1,0.45676,0.37218,0.41752,0.51304,0.76651,0,0,0,0,0,0,0,0,0,0
0.40223,0,0.43961,0,0,0,0,0,0.33043,0.33908,0.3867,0.44878,0.40246,0.69833,0.7825,0.63649,0.73339,1,0.40456,1,1,1,1,1,0.72163,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.2413,0,0.23216,0.67559,0.3041,0.39024,0.27123,0,1,1,1,1,1,0.34417,0.63441,0.38874,0.34882,0.36235,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.67643,1,1,1,1,0.29483,0.67281,1,1,0.65193,1,0.35989,0.30034,0,0.32256,0.28554,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.59297,0,0.35753,0.6,0.6,0.38755,0.6,0.4568,1,0.82392,0.79461,0.7925,0.80355,0.68047,0.73329,0.32011,0.31549,0.66446,0,0,0,0,0,0,0,0,0,0
0,0.29783,0,0,0,0,0,0,0.31546,0.68819,1,1,1,1,1,0.67537,0.68693,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.33064,0,0,0.32018,0,0,0,0,0.66749,0.29936,0.51023,0.66633,0.32055,0,0.2526,0.74075,0.42511,0.70057,0.65701,0,0.24114,0.31584,0,0.33771,0,0.55844,0.29155,0.60436,0,0,0.28738,0,0.80674,0,1,0
0,0,0,0,0,0,0,0,0,0,0.30451,0.71036,0.3045,0,0.73033,0.75669,0,0.69356,0.3282,0.27198,0.35753,0.67482,0,0.27238,0,0.38704,0.33929,0.63296,0.23025,0.36428,0.29317,0.35483,0,0,0.38205,0.24223
0,0.39591,0,0,0,0.2906,0.35804,0,0.61247,0.35355,0.73852,0,0.63971,0.61511,0.3842,0.31818,0.34098,0.75248,0.67067,0.4621,0.70087,0.27724,0,0.63766,0.42101,0.31918,0,0.33974,0.72454,0.68614,0.3683,0.63533,0.43175,0.22887,0.64797,0.61245
0.32854,0,0,0,0.31393,0,0,0,0.36983,0.23529,0.72128,1,0.28555,1,0.32116,0.30968,0.69832,0.67496,0.71165,0.73074,0,0.74331,0.25898,0.34139,0.26863,0,0.3183,0.72008,0.32119,0,0,0.37167,0.32077,0.72617,1,0
0,0,0.55144,0,0,0.4515,0,0,0,0.25135,1,0,0,0.71954,0.3656,0.39004,0.32354,0.29209,0.37021,0.67211,1,0,1,0.68864,1,0.28662,0.30666,0.26324,0.70198,0,0.67149,1,0,0.65996,0.70895,0.74592
1,1,1,1,1,1,1,1,0.62219,0.74647,0.64137,0.36942,0.75674,0.37325,0.41433,1,1,0,0.55772,0.67516,0,1,0.34358,0.27376,0,0.30496,0.72675,1,0,0.66671,0.31959,0.61173,0.67144,0.7167,0.51435,0.69145
0.56574,0.3666,0,0,0,0,0.52632,0.5125,0,0.25,0.31812,1,0.25266,1,0.39144,0.31818,1,1,1,1,1,0.26804,0.35806,0,0.74111,0,0,0,0,0,0,0,0,0,0,0
0,0.49384,0,0,0,0,0.27399,0.28953,0.30716,0.33333,0.34029,0.51376,1,0.34826,0,0.64057,0.30867,0.50252,0.28862,0,0.23863,0.26052,1,0.66953,1,0.3175,0.72208,0.29307,0.31564,0.2797,0.62618,0.336,0.20127,0.25375,0,0.36615
0,0,0,0,0,0.34564,0.33395,0,0.69565,0.29289,0.40396,0.68838,0.25865,0.30457,1,0.3437,0,0.30286,0,0.42229,0.52183,0,0.3163,0,0,0.57861,0.66093,0.42362,0.30544,0,0,0.74476,0.65701,0,0.27628,0
0.27643,0,0,0,0.44332,0,0.33248,0,1,0.33333,0.23734,0.71223,0,0.72848,0.53785,0.31088,0.30489,0.37596,0.49222,0.68306,0.66739,0.25365,0.34563,0.33465,0.41725,0.69927,0.71032,0.75313,0.43534,0.45691,0.72875,0.36901,0,0,0,1
0,0,0,0,0,0,0.17173,0,0.69374,0,0,0.73987,1,0.72088,0.32897,0.34783,0.51544,0.52962,0.66118,0.4781,0.60476,0.25734,0,0.27126,0.30727,0.43364,0,0.3189,0.71553,0.4666,0.33608,0.29497,0,1,0.58384,1
0,0,0,0,0,0,0,0,0,0.75,0.28633,0.63567,0.51403,0.4666,0.34961,1,0.31886,0.63783,0.35336,0.32961,0,0.70307,1,0.49752,0.6742,0.31235,0,0.3629,0.45525,0.44329,0,0.36017,0,0.25691,0.67266,0.66959
0,0,0,0,0,0,0,0,0.75048,0.6,0,0.3718,0.62215,0.65775,0.55179,0.24283,0.33194,0.28453,0,0.28712,0.31475,0.28387,0.29722,0.60115,0,0.69836,0.76113,0.27644,0.68207,0.63755,0.32791,0.2779,0,0.68025,0.39357,0
0,0,0,0,0,0,0.20085,0,0,0,0.27684,0.33532,0.34244,0.32462,0.75892,0.2443,0.62748,0.30842,0.61934,0.22112,0.32929,0.32555,0,0,0.26264,0,0.30371,0.25714,0.66193,0.70409,1,0,0,0,0,0.64305
0,0,0,0,0,0,0,0,0,0.25,0.33469,0,0.53641,0.38709,0.64142,0.3292,0.78573,0,0.59936,0,0.68258,0.68695,0.67689,0.44499,0,0.7113,0.22667,0.67679,0,1,0.36231,0.31468,0,0,0.54595,0.56833
0,0,0,0.61157,0,0,0,0,0.66221,0.5,0.32536,0,0,0.28372,0.43048,0.69744,0.29364,0,0.55611,0,0,0,0.25028,0.68254,0.48937,0,0,0,0.33665,0,0,0,0,0.7145,0,0
0,0,0,0,0,0,0,0.32291,0.67964,0,0,1,0.43553,0,0,0.38521,0.32667,0.2766,0.36187,0.42902,0,0.19515,0.31027,0.28061,0.35239,0,0,0.34269,0.28898,0,1,0.68304,0.43033,0.4192,0,0.66098
0,0,0,0,0,0,0,0,0.28302,0.4,0,0.43988,0.2495,0.26223,0,0,0.27391,0.39827,0.37827,0,0.37005,0,0,0.66338,0,0.3754,0.51437,0.34284,0.35293,0.71017,0.69193,0,0.37805,0,0,0.29113
0,0,0,0,0,0,0,0,0,0,0.67961,1,0.34077,0.31427,0.28121,0.30924,0.73106,0.6357,0,0.43493,0,0,0.32814,0.81796,0.35831,0,0.7049,0.36618,0.31836,0.74957,0.36543,0.53991,0.67602,0.36101,0,0
0.21314,0,0.26328,0,0.35358,0,0,0,0.42536,0.66667,0.30743,0.31195,0.7403,1,0,0.5997,0.4467,0.41636,0.39151,0.6645,0.44463,0,0,0.52985,0.55305,0.72182,0.26969,0,0,0,0.27429,0.24148,1,0.66709,0.34756,0.25555
0.23232,0,0,0,0,0.34644,0,0,0.64754,0.25,0.69176,0,0.36548,0.69307,0.33968,0.47632,0,0,0,0.33889,0.38524,0.34678,0,0.32116,0.27865,0,0,0.53868,0.32934,0.66891,0,0,0,0.15118,0,0.33511
0,0.39424,0,0,0,0,0,0.50356,0.27217,0,0.343,0.3489,0.74089,0.28824,0.66667,0.69274,0,0.29733,1,0.31971,1,0.28931,0,0.61081,0.3298,0.67368,1,0,0.34932,0.36456,0,0.27382,0.39105,0.39809,0.3671,0.28931
